City_ID,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,76,PT,88,39.3558,-9.3811,295.16,4.61
1,7,MU,79,-19.9842,57.6142,295.08,2.61
2,75,US,67,64.8378,-147.7164,280.15,3.09
3,71,JP,89,33.7333,135.9833,298.7,2.94
4,18,AU,23,-20.7333,139.5,305.02,4.63
5,22,PT,60,41.5382,-6.9611,284.44,2.26
6,47,MX,74,21.2311,-86.73100000000001,303.24,4.47
7,84,RU,71,68.5333,146.4167,267.61,2.88
8,1,US,71,42.097,-79.2353,295.95,1.34
9,99,PF,78,-23.1203,-134.9692,296.61,7.46
10,17,PF,77,-9.8,-139.0333,299.09,9.45
11,72,US,85,39.2667,-81.5615,298.41,0.71
12,75,MU,94,-20.5167,57.5167,295.02,2.57
13,99,AU,36,-31.4333,152.9167,289.13,3.22
14,4,PF,71,-16.4833,-151.75,299.11,5.49
15,75,AR,87,-54.8,-68.3,281.94,12.35
16,40,CK,69,-21.2078,-159.775,299.18,8.23
17,100,US,88,41.3712,-73.414,292.05,0.75
18,100,IE,94,54.6333,-8.45,289.51,5.38
19,0,MX,24,31.7667,-107.6167,301.58,3.88
20,100,RU,89,63.1994,75.4507,277.22,6.85
21,4,ZA,87,-34.4187,19.2345,290.26,6.91
22,100,AU,72,-32.55,115.7,283.66,2.57
23,100,US,91,71.2906,-156.7887,271.99,4.44
24,100,RU,92,62.1444,117.6319,271.62,4.56
25,86,PT,80,32.6667,-17.1,295.5,1.94
26,0,PE,72,-13.7,-76.2167,292.18,7.2
27,99,RU,91,70.6333,147.9167,265.08,4.0
28,43,IN,85,22.95,81.0833,294.51,0.86
29,42,CN,96,26.5851,101.7128,292.34,0.61
30,27,US,81,22.0752,-159.319,301.03,1.34
31,100,RU,55,56.45,138.1667,276.81,4.48
32,26,RU,66,59.3833,143.3,270.23,7.6
33,88,NZ,75,-46.6,168.3333,289.71,0.49
34,69,KI,69,3.0707,172.7902,300.93,7.05
35,53,MV,74,-0.6,73.0833,301.73,5.27
36,62,CD,94,1.2391,23.616,295.16,1.33
37,100,JP,75,35.1333,140.3,294.32,5.26
38,75,SJ,86,78.2186,15.6401,274.06,3.6
39,17,RU,87,55.4505,54.3145,275.61,1.09
40,83,AU,68,-33.8667,121.9,281.06,4.29
41,86,AU,51,-42.7826,147.0587,284.22,2.68
42,25,TD,64,10.4795,16.7117,299.24,2.23
43,73,NZ,54,-46.1927,168.8643,289.53,1.14
44,100,IS,92,64.2539,-15.2082,277.64,8.64
45,13,PE,81,-10.0681,-78.1522,291.77,4.03
46,100,RU,78,73.5069,80.5464,272.6,3.83
47,2,ES,90,42.7762,-9.0603,291.61,2.6
48,28,US,88,42.6001,-73.9662,291.47,0.46
49,0,CL,72,-37.6167,-73.65,284.68,8.33
50,100,NG,96,4.9247,6.2642,296.97,1.67
51,40,AU,59,-42.8794,147.3294,284.41,0.89
52,90,CA,89,62.456,-114.3525,278.38,1.34
53,61,CA,88,43.7501,-81.7165,291.99,1.54
54,42,FR,96,46.4154,3.9054,279.64,1.03
55,92,GL,72,69.2167,-51.1,266.03,3.42
56,0,ZA,64,-33.9258,18.4232,291.38,0.89
57,100,RU,96,71.9167,114.0833,268.5,5.35
58,99,RU,97,71.9667,102.5,264.49,3.16
59,0,AR,60,-31.393,-58.0209,291.19,9.83
60,100,BR,77,-30.1811,-50.2056,290.94,6.76
61,27,UY,69,-33.6971,-53.4616,283.28,6.07
62,100,PG,71,-2.5744,150.7967,300.61,1.3
63,100,UG,66,2.9806,34.1331,296.06,2.15
64,75,US,80,39.0911,-94.4155,296.32,1.34
65,75,CL,76,-53.15,-70.9167,281.21,11.83
66,95,GF,82,5.1552,-52.6478,300.99,3.4
67,10,YE,82,12.7794,45.0367,303.33,4.89
68,82,CN,61,47.5833,126.0833,278.43,2.33
